label,raw_label,most_similar_label,cosine_similarity
kit fox,kit fox,,
english setter,English setter,,
siberian husky,Siberian husky,,
australian terrier,Australian terrier,,
english springer,English springer,,
grey whale,grey whale,,
lesser panda,lesser panda,,
egyptian cat,Egyptian cat,,
ibex,ibex,ptarmigan,0.5292630791664124
persian cat,Persian cat,,
cougar,cougar,coyote,0.7155816555023193
gazelle,gazelle,cheetah,0.5484806299209595
porcupine,porcupine,leopard,0.5092303156852722
sea lion,sea lion,,
malamute,malamute,collie,0.6467183232307434
badger,badger,polecat,0.49675071239471436
great dane,Great Dane,,
walker hound,Walker hound,,
welsh springer spaniel,Welsh springer spaniel,,
whippet,whippet,doberman,0.5600378513336182
scottish deerhound,Scottish deerhound,,
killer whale,killer whale,,
mink,mink,lynx,0.48380786180496216
african elephant,African elephant,,
weimaraner,Weimaraner,keeshond,0.6838314533233643
soft-coated wheaten terrier,soft-coated wheaten terrier,,
dandie dinmont,Dandie Dinmont,,
red wolf,red wolf,,
old english sheepdog,Old English sheepdog,,
jaguar,jaguar,lynx,0.581459641456604
otterhound,otterhound,,
bloodhound,bloodhound,beagle,0.5677886009216309
airedale,Airedale,,
hyena,hyena,baboon,0.5858524441719055
meerkat,meerkat,baboon,0.5292682647705078
giant schnauzer,giant schnauzer,,
titi,titi,colobus,0.5998938679695129
three-toed sloth,three-toed sloth,,
sorrel,sorrel,cardoon,0.5211452841758728
black-footed ferret,black-footed ferret,,
dalmatian,dalmatian,weimaraner,0.66743004322052
black-and-tan coonhound,black-and-tan coonhound,,
papillon,papillon,schipperke,0.7253285646438599
skunk,skunk,coyote,0.5475552678108215
staffordshire bullterrier,Staffordshire bullterrier,,
mexican hairless,Mexican hairless,,
bouvier des flandres,Bouvier des Flandres,,
weasel,weasel,badger,0.48722580075263977
miniature poodle,miniature poodle,,
cardigan,Cardigan,overskirt,0.537300169467926
malinois,malinois,schipperke,0.6541218757629395
bighorn,bighorn,bison,0.6210498213768005
fox squirrel,fox squirrel,,
colobus,colobus,guenon,0.6695790886878967
tiger cat,tiger cat,,
lhasa,Lhasa,papillon,0.5081232190132141
impala,impala,warthog,0.6031294465065002
coyote,coyote,cougar,0.7155816555023193
yorkshire terrier,Yorkshire terrier,,
newfoundland,Newfoundland,,
brown bear,brown bear,,
red fox,red fox,,
norwegian elkhound,Norwegian elkhound,,
rottweiler,Rottweiler,collie,0.6578083634376526
hartebeest,hartebeest,impala,0.5664829611778259
saluki,Saluki,borzoi,0.6405378580093384
grey fox,grey fox,,
schipperke,schipperke,papillon,0.7253285646438599
pekinese,Pekinese,,
brabancon griffon,Brabancon griffon,,
west highland white terrier,West Highland white terrier,,
sealyham terrier,Sealyham terrier,,
guenon,guenon,siamang,0.6721621155738831
mongoose,mongoose,hyena,0.48984450101852417
indri,indri,colobus,0.5989353060722351
tiger,tiger,leopard,0.6132040023803711
irish wolfhound,Irish wolfhound,,
wild boar,wild boar,,
entlebucher,EntleBucher,,
zebra,zebra,hippopotamus,0.5641687512397766
ram,ram,slug,0.333793967962265
french bulldog,French bulldog,,
orangutan,orangutan,gorilla,0.5961936116218567
basenji,basenji,borzoi,0.6950019001960754
leopard,leopard,cheetah,0.623271107673645
bernese mountain dog,Bernese mountain dog,,
maltese dog,Maltese dog,,
norfolk terrier,Norfolk terrier,,
toy terrier,toy terrier,,
vizsla,vizsla,schipperke,0.6833739876747131
cairn,cairn,obelisk,0.4801284968852997
squirrel monkey,squirrel monkey,,
groenendael,groenendael,,
clumber,clumber,,
siamese cat,Siamese cat,,
chimpanzee,chimpanzee,gorilla,0.6095555424690247
komondor,komondor,,
afghan hound,Afghan hound,,
japanese spaniel,Japanese spaniel,,
proboscis monkey,proboscis monkey,,
guinea pig,guinea pig,,
white wolf,white wolf,,
ice bear,ice bear,,
gorilla,gorilla,chimpanzee,0.6095555424690247
borzoi,borzoi,schipperke,0.7006547451019287
toy poodle,toy poodle,,
kerry blue terrier,Kerry blue terrier,,
